--------- beginning of system
02-08 22:42:38.224  1029  4888 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.YourCompany.TemplateProject3/com.epicgames.ue4.GameActivity} from uid 2000
02-08 22:42:38.256  1029  1053 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
02-08 22:42:38.278  1029  1062 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
02-08 22:42:38.283  1029  1062 I ActivityManager: Start proc 25212:com.YourCompany.TemplateProject3/u0a147 for activity {com.YourCompany.TemplateProject3/com.epicgames.ue4.GameActivity}
02-08 22:46:30.407   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.466   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.509   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.512   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.656   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 3 lines
02-08 22:46:30.707   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.752   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.797   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.800   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.848   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.902   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:30.990   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:31.040   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.071   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.128   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:31.183   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.229   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.278   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.321   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.366   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.376   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.421   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.471   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.613   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 3 lines
02-08 22:46:31.654   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.657   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.710   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:31.752   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.014   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 6 lines
02-08 22:46:32.067   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.112   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.157   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.207   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.257   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.261   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.304   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.347   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 1 line
02-08 22:46:32.391   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.435   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.478   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.518   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 1 line
02-08 22:46:32.521   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.572   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.613   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.656   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.701   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.742   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.790   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:32.795   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.852   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.896   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:32.940   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.031   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 2 lines
02-08 22:46:33.073   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.075   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.122   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.151   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 1 line
02-08 22:46:33.200   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.248   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.300   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.346   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.348   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.392   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:33.433   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.471   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.520   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.566   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.615   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:33.622   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.669   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.713   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:33.763   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.808   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.856   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.905   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.911   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:33.958   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.066   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:34.089   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.133   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.183   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.231   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:34.272   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.319   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.370   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.423   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.468   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.469   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.522   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.573   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 1 line
02-08 22:46:34.628   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.673   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.722   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.767   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.774   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:34.967   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 4 lines
02-08 22:46:35.013   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.057   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.106   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:35.152   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.197   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.249   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 1 line
02-08 22:46:35.296   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.346   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.506   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 4 lines
02-08 22:46:35.550   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.599   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.634   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:35.639   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.670   757 24804 E FrameSetDispatcher: [HEADSET] Client pid=883 (IOT): Failed to read from receive FMQ for 2 packets in 5000ms.
02-08 22:46:35.670   757 24804 E FrameSetDispatcher: This probably means this client is taking more than 33 ms to process the frame.
02-08 22:46:35.670   757 24804 E FrameSetDispatcher: Retrying.
02-08 22:46:35.696   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.868   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 4 lines
02-08 22:46:35.908   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:35.911   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.191   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 7 lines
02-08 22:46:36.232   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.280   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.324   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:36.376   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.428   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.470   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 2 lines
02-08 22:46:36.514   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.559   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.609   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.668   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.710   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.756   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.765   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.808   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.860   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:36.906   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:36.948   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.000   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.043   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.045   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.098   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.146   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.193   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.237   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.283   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.334   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.337   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.388   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.433   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.480   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.519   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:37.580   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.626   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.629   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.830   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 4 lines
02-08 22:46:37.885   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.944   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.948   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:37.988   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.311   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 8 lines
02-08 22:46:38.359   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.373   757  1250 W SyncBossHAL: [warning] syncboss_hal_data_handlers.c(333): s:0 Long processing time detected for streaming packet type 146 (3119us)
02-08 22:46:38.408   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.509   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 3 lines
02-08 22:46:38.558   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.602   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.653   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.746   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 2 lines
02-08 22:46:38.793   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.798   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.830   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.877   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.925   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:38.964   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.079   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:39.087   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.132   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.176   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.226   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.268   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.313   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.327   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.333   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.387   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.433   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.481   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.527   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.581   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.630   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:39.677   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.726   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.778   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.787   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.832   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.880   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.883   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:39.931   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:39.978   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.069   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:40.113   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.163   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.164   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.228   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:40.271   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.319   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.366   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.414   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.467   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.468   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.506   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.550   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.598   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.691   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:40.736   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.741   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.827   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 2 lines
02-08 22:46:40.868   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.908   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.952   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.998   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:40.999   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.044   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.070   757 24804 E FrameSetDispatcher: [HEADSET] Client pid=883 (IOT): Failed to read from receive FMQ for 5 packets in 5000ms.
02-08 22:46:41.070   757 24804 E FrameSetDispatcher: This probably means this client is taking more than 33 ms to process the frame.
02-08 22:46:41.070   757 24804 E FrameSetDispatcher: Retrying.
02-08 22:46:41.086   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.136   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:41.169   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.217   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.260   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:41.262   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.309   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.356   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.407   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.457   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.509   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.558   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.610   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:41.640   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.692   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.746   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.788   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.829   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.831   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.879   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.926   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:41.986   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.033   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.081   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.128   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.132   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 1 line
02-08 22:46:42.188   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.231   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.278   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.330   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.387   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.432   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.433   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.482   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:42.526   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.572   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.594   757 24571 I SyncBossHAL: [info   ] syncboss_hal_input_controller.c(61): 729165a0xxxxxxxx: 0 missed/180000 expected (PER 0.00%)
02-08 22:46:42.617   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.664   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.710   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.712   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.794   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:42.844   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.888   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.928   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.974   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:42.977   883  1355 I chatty  : uid=1000(system) Binder:883_3 identical 1 line
02-08 22:46:43.026   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.067   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.113   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.165   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.194   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.248   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.253   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.305   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.346   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:43.393   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.441   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.490   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.539   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.545   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.594   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.633   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.687   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.743   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.791   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.838   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.839   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.888   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.936   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:43.980   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.030   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.075   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.127   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.128   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:44.176   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.224   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.269   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.320   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.375   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.423   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:44.425   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.471   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.517   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.557   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.599   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.617   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.633   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.637   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:44.688   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.725   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.766   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.802   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.852   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.899   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.903   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.949   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:44.996   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.046   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.098   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.146   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.188   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.190   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.241   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.289   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.347   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.392   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:45.439   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.493   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.507   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.563   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.621   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.669   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.670  1029  1045 W ActivityManager: Package for pid 868: no process record found
02-08 22:46:45.775   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:45.829   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.830   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:45.928   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:45.978   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.021   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.075   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.119   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.176   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:46.217   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.261   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.353   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 2 lines
02-08 22:46:46.403   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.413   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.458   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.509   883  1355 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.555   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.651   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 2 lines
02-08 22:46:46.698   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.710   883  9961 W TrackingService: attachClient: found client in attached list
02-08 22:46:46.758   883  9961 I chatty  : uid=1000(system) Binder:883_5 identical 1 line
02-08 22:46:46.805   883  9961 W TrackingService: attachClient: found client in attached list
