--------- beginning of system
03-09 18:58:45.043  1052  8717 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.CraftyGoblinStudios.GroovyBeats/com.epicgames.ue4.GameActivity} from uid 2000
03-09 18:58:45.069  1052  1085 I ActivityManager: Start proc 14799:com.CraftyGoblinStudios.GroovyBeats/u0a217 for activity {com.CraftyGoblinStudios.GroovyBeats/com.epicgames.ue4.GameActivity}
03-09 18:59:38.715  1260 15059 I chatty  : uid=10025(com.oculus.systemdriver) OVR::TimeWarp expire 10 lines
03-09 18:59:38.738   861 15045 I [CT]    : VIPER: Environment brightness changed from 0 to 2
03-09 18:59:38.759  2899  3049 I GuardianSystem: [GuardianSystem::CheckEnvironmentStatus] Environment Status changed: 33 to 34
03-09 18:59:38.780   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.96, bitrate 3880031
03-09 18:59:38.875   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 26 lines
03-09 18:59:38.904   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:38.905   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:38.992   861 15045 W [CT]    : VIO_HAS_TRACKING: Bad tracking: large covariance-weighted vision correction : 164.77650451660156 > 90
03-09 18:59:38.992   861 15045 W [CT]    : VEGA:PERCEPTUAL_HM: Bad tracking: tracker health is bad
03-09 18:59:38.992   861 15045 I [CT]    : VEGA:PERCEPTUAL_HM: Perceptual HM: bad tracking while exposing 6DoF. Delaying switch to 3DoF for 0.266666666 seconds.
03-09 18:59:38.993   861 15045 I [CT]    : VegaTracker: VegaTracker::track returned 357 track measurement(s) 122 track-to-landmark association(s) and 3 closed track ID(s) while reporting poor tracking quality. (isTrackerHealthy = false, isMapTrackingHealthy = true)
03-09 18:59:39.010 14799 15109 I VrApi   : FPS=72/72,Prd=47ms,Tear=1,Early=71,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=2092MHz,Free=2071MB,PLS=0,Temp=27.5C/0.0C,TW=1.94ms,App=7.00ms,GD=0.12ms,CPU&GPU=11.24ms,LCnt=3(DR0,LM3),GPU%=0.76,CPU%=0.51(W0.59),DSF=1.00,CFL=19.70/21.39
03-09 18:59:39.019   861 15045 I [CT]    : VIPER: Image mean intensities (per camera): 75.15, 92.33, 104.39, 75.84
03-09 18:59:39.021   861 15045 I [CT]    : VegaTracker: Performing big search to recover from bad map tracking or new reloc.
03-09 18:59:39.145   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 12 lines
03-09 18:59:39.154   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:39.156   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:39.475  1846  1868 W System  : A resource failed to call release. 
03-09 18:59:39.476  1846  1868 W System  : A resource failed to call release. 
03-09 18:59:39.634   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 21 lines
03-09 18:59:39.672   861  1193 I [CT]    : VEGA_MAPPER:SubmapTrackingValidator: Pausing map building until validation is complete. 7.960000000000001 seconds remaining
03-09 18:59:39.675   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:39.677   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:39.778   861 15045 I [CT]    : VIPER: Environment brightness changed from 2 to 0
03-09 18:59:39.783   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.91, bitrate 4593517
03-09 18:59:39.803  2899  3049 I GuardianSystem: [GuardianSystem::CheckEnvironmentStatus] Environment Status changed: 34 to 33
03-09 18:59:39.868  3090  3090 D MetaCam (DeviceLifecycleManager): onCapabilitiesChanged(...). Has NET_CAPABILITY_VALIDATED.
03-09 18:59:39.868  3090  3090 D MetaCam (DeviceLifecycleManager): onCapabilitiesChanged(...). Has NET_CAPABILITY_VALIDATED.
03-09 18:59:39.870 14799 14823 V UE4     : [NetworkChangedManager] Network Capabilities changed, has Internet: true
03-09 18:59:39.871 14799 15234 V UE4     : [NetworkChangedManager] Verifying internet connection with host: https://example.com/
03-09 18:59:39.874  3090  3090 D MetaCam (DeviceLifecycleManager): onCapabilitiesChanged(...). Has NET_CAPABILITY_VALIDATED.
03-09 18:59:40.004 14799 15109 I VrApi   : FPS=71/72,Prd=48ms,Tear=0,Early=57,Stale=13,Stale2/5/10/max=1/0/1/11,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=2092MHz,Free=2071MB,PLS=0,Temp=27.5C/0.0C,TW=2.51ms,App=6.82ms,GD=0.11ms,CPU&GPU=13.04ms,LCnt=3(DR0,LM3),GPU%=0.74,CPU%=0.53(W0.57),DSF=1.00,CFL=19.72/21.25
03-09 18:59:40.058   861 15045 W [CT]    : TIMESTAMPCHECKER: Nominal rate wrong. Estimated data rate: 25, Nominal is 30.000300003000028
03-09 18:59:40.080 14799 15234 V UE4     : [NetworkChangedManager] Connectivity hasn't changed. Current state: CONNECTION_AVAILABLE
03-09 18:59:40.081 14799 15234 V UE4     : [NetworkChangedManager] Full network check complete. State: CONNECTION_AVAILABLE
03-09 18:59:40.183   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 26 lines
03-09 18:59:40.228   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:40.230   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:40.261   861 13691 W [CT]    : TorsoModel: [Throttled count=42] Not able to update controller's X-yaw (X is almost vertical)
03-09 18:59:40.432   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 9 lines
03-09 18:59:40.455   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:40.462   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:40.473   861 15045 I [CT]    : VIPER: Mode=SuperVega,Status=6DoF,TRACKING,Inl=19,Mem=87.3,Jit=0.6mm,Issues(Cam/min=0.0,IMU/min=0.0),Exp=(13.7ms,g=15.0,I=75,Ir=369.3)(14.0ms,g=15.0,I=97,Ir=464.2)(14.0ms,g=15.0,I=102,Ir=486.8)(9.6ms,g=13.0,I=75,Ir=611.1)
03-09 18:59:40.474   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:40.476   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:40.698   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 10 lines
03-09 18:59:40.728   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:40.730   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:40.751   861 15045 W [CT]    : VEGA:MAP_TRACKING_HM: Bad map tracking: map tracking failed @ Submap id = 2, version = 768223575 with status: 2
03-09 18:59:40.751   861 15045 W [CT]    : VEGA:MAP_TRACKING_HM: [Throttled count=8] Map tracking did not run.
03-09 18:59:40.785   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.96, bitrate 4508823
03-09 18:59:40.819   861 15045 I [CT]    : VIPER: Environment brightness changed from 0 to 2
03-09 18:59:40.833  2899  3049 I GuardianSystem: [GuardianSystem::CheckEnvironmentStatus] Environment Status changed: 33 to 34
03-09 18:59:40.860   861 13652 I [CT]    : boltlib: DSP utilization: 8.40 % (419 / 5000 ms)
03-09 18:59:41.004 14799 15109 I VrApi   : FPS=62/72,Prd=48ms,Tear=2,Early=68,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=2092MHz,Free=2071MB,PLS=0,Temp=27.5C/0.0C,TW=2.01ms,App=7.04ms,GD=0.11ms,CPU&GPU=14.84ms,LCnt=3(DR0,LM3),GPU%=0.73,CPU%=0.47(W0.58),DSF=1.00,CFL=19.58/21.51
03-09 18:59:41.676  1846 15182 D BufferPoolAccessor: bufferpool2 0x76346a0620 : 5(2048000 size) total buffers - 4(1638400 size) used buffers - 0/5 (recycle/alloc) - 4/185 (fetch/transfer)
03-09 18:59:41.677   834 15192 D BufferPoolAccessor: bufferpool2 0x31ec778030 : 10(61440 size) total buffers - 3(18432 size) used buffers - 464/474 (recycle/alloc) - 13/473 (fetch/transfer)
03-09 18:59:41.755   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 49 lines
03-09 18:59:41.785   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:41.786   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:41.788   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.94, bitrate 4131530
03-09 18:59:41.796   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:41.798   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:41.849 14799 14833 D UE4     : [GameActivity] Used memory: 557740 (VmRSS:	  219652 kB)
03-09 18:59:41.859   861 15045 I [CT]    : VIPER: Environment brightness changed from 2 to 0
03-09 18:59:41.877  2899  3049 I GuardianSystem: [GuardianSystem::CheckEnvironmentStatus] Environment Status changed: 34 to 33
03-09 18:59:42.017 14799 15109 I Telemetry: App memory usage: PSS=544 MiB, PrivateDirty=394 MiB, PrivateClean=136 MiB, GPU=224.1/224.7 MiB (100% allocated)
03-09 18:59:42.021 14799 15109 I VrApi   : FPS=72/72,Prd=47ms,Tear=0,Early=70,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=2092MHz,Free=1976MB,PLS=0,Temp=27.5C/0.0C,TW=2.00ms,App=5.82ms,GD=0.11ms,CPU&GPU=12.32ms,LCnt=3(DR0,LM3),GPU%=0.67,CPU%=0.50(W0.60),DSF=1.00,CFL=19.56/21.39
03-09 18:59:42.047   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 12 lines
03-09 18:59:42.059   861 15045 W [CT]    : TIMESTAMPCHECKER: Nominal rate wrong. Estimated data rate: 25, Nominal is 30.000300003000028
03-09 18:59:42.074   861  1193 I [CT]    : VEGA_MAPPER:SubmapTrackingValidator: Pausing map building until validation is complete. 5.559999999999999 seconds remaining
03-09 18:59:42.077   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:42.079   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:42.586   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 26 lines
03-09 18:59:42.595   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:42.598   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:42.791   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.92, bitrate 4785274
03-09 18:59:42.899   861 15045 I [CT]    : VIPER: Environment brightness changed from 0 to 2
03-09 18:59:42.922  2899  3049 I GuardianSystem: [GuardianSystem::CheckEnvironmentStatus] Environment Status changed: 33 to 34
03-09 18:59:43.004 14799 15109 I VrApi   : FPS=72/72,Prd=47ms,Tear=0,Early=69,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=2092MHz,Free=1976MB,PLS=0,Temp=27.5C/0.0C,TW=2.01ms,App=6.49ms,GD=0.11ms,CPU&GPU=11.65ms,LCnt=3(DR0,LM3),GPU%=0.56,CPU%=0.56(W0.91),DSF=1.00,CFL=19.79/21.46
03-09 18:59:43.049   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 22 lines
03-09 18:59:43.086   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:43.089   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:43.574  1052 11903 W ActivityManager: Package for pid 842: no process record found
03-09 18:59:43.793   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.95, bitrate 4532900
03-09 18:59:44.006 14799 15109 I VrApi   : FPS=68/72,Prd=48ms,Tear=0,Early=56,Stale=5,Stale2/5/10/max=0/1/0/5,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=2092MHz,Free=1976MB,PLS=0,Temp=27.5C/0.0C,TW=1.95ms,App=6.61ms,GD=0.11ms,CPU&GPU=14.09ms,LCnt=3(DR0,LM3),GPU%=0.71,CPU%=0.50(W0.60),DSF=1.00,CFL=19.69/21.47
03-09 18:59:44.074   861 15045 I [CT]    : VIPER: Mode=SuperVega,Status=6DoF,TRACKING,Inl=22,Mem=87.2,Jit=0.3mm,Issues(Cam/min=0.0,IMU/min=0.0),Exp=(13.5ms,g=15.0,I=75,Ir=373.3)(14.0ms,g=15.0,I=100,Ir=480.5)(14.0ms,g=15.0,I=107,Ir=512.8)(10.0ms,g=12.0,I=76,Ir=641.9)
03-09 18:59:44.074   861 15045 W [CT]    : VIPER: Images too dark, 
03-09 18:59:44.098   861 15045 W [CT]    : TIMESTAMPCHECKER: Nominal rate wrong. Estimated data rate: 25, Nominal is 30.000300003000028
03-09 18:59:44.299   581   609 I SyncBossFW: 1201074 [info   ] {PERF}: cpu load cur=0.4656 min=0.0515 max=0.4845 avg=0.3798
03-09 18:59:44.473   861  1193 I [CT]    : VEGA_MAPPER:SubmapTrackingValidator: Pausing map building until validation is complete. 3.16 seconds remaining
03-09 18:59:44.542   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 76 lines
03-09 18:59:44.588   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:44.595   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:44.728   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 6 lines
03-09 18:59:44.771   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:44.773   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:44.796   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.92, bitrate 4428451
03-09 18:59:44.979   861 15045 I [CT]    : VIPER: Environment brightness changed from 2 to 0
03-09 18:59:44.983  2899  3049 I GuardianSystem: [GuardianSystem::UpdateSystem] world updating because worldfromanchor threshold passed
03-09 18:59:44.996  3023  3139 I [CT]    : MIXEDREALITY: MrServiceView: renderIteration: (every 10 seconds), screen is: ON, PT is: OFF, ID is: OFF
03-09 18:59:44.996  3023  3139 I [CT]    : MIXEDREALITY: MrServiceModel: commitLayerState: PassthroughMode: kNone.
03-09 18:59:44.996  2899  3049 I GuardianSystem: [GuardianSystem::CheckEnvironmentStatus] Environment Status changed: 34 to 33
03-09 18:59:45.004   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 12 lines
03-09 18:59:45.004  3023  3139 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
03-09 18:59:45.005 14799 15109 I VrApi   : FPS=72/72,Prd=47ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=2092MHz,Free=1976MB,PLS=0,Temp=27.5C/0.0C,TW=2.00ms,App=6.00ms,GD=0.11ms,CPU&GPU=12.02ms,LCnt=3(DR0,LM3),GPU%=0.68,CPU%=0.46(W0.64),DSF=1.00,CFL=19.64/21.50
03-09 18:59:45.031   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.032   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.234   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 11 lines
03-09 18:59:45.265   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.268   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.276   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 1 line
03-09 18:59:45.315   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.317   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.394   861 15045 W [CT]    : VIO_HAS_TRACKING: Bad tracking: large covariance-weighted vision correction : 296.7191162109375 > 90
03-09 18:59:45.394   861 15045 W [CT]    : VEGA:PERCEPTUAL_HM: Bad tracking: tracker health is bad
03-09 18:59:45.394   861 15045 I [CT]    : VEGA:PERCEPTUAL_HM: Perceptual HM: bad tracking while exposing 6DoF. Delaying switch to 3DoF for 0.266666666 seconds.
03-09 18:59:45.395   861 15045 I [CT]    : VegaTracker: VegaTracker::track returned 297 track measurement(s) 116 track-to-landmark association(s) and 13 closed track ID(s) while reporting poor tracking quality. (isTrackerHealthy = false, isMapTrackingHealthy = true)
03-09 18:59:45.419   861 15045 I [CT]    : VIPER: Image mean intensities (per camera): 75.11, 97.51, 108.85, 75.22
03-09 18:59:45.421   861 15045 I [CT]    : VegaTracker: Performing big search to recover from bad map tracking or new reloc.
03-09 18:59:45.428  2899  3049 I GuardianSystem: [GuardianSystem::UpdateSystem] world updating because worldfromanchor threshold passed
03-09 18:59:45.451  3023  3139 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
03-09 18:59:45.456  2899  3049 I GuardianSystem: [GuardianSystem::UpdateSystem] world updating because worldfromanchor threshold passed
03-09 18:59:45.469  3023  3139 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
03-09 18:59:45.526   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 9 lines
03-09 18:59:45.544   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.547   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.595  2899  3049 I GuardianSystem: [GuardianSystem::UpdateSystem] world updating because worldfromanchor threshold passed
03-09 18:59:45.619  3023  3139 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
03-09 18:59:45.637  2899  3049 I GuardianSystem: [GuardianSystem::UpdateSystem] world updating because worldfromanchor threshold passed
03-09 18:59:45.644   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 4 lines
03-09 18:59:45.648   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.650   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.659  3023  3139 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
03-09 18:59:45.734  2899  3049 I GuardianSystem: [GuardianSystem::UpdateSystem] world updating because worldfromanchor threshold passed
03-09 18:59:45.748  2899  3049 I GuardianSystem: [GuardianSystem::UpdateSystem] world updating because worldfromanchor threshold passed
03-09 18:59:45.749  3023  3139 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
03-09 18:59:45.762  3023  3139 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
03-09 18:59:45.778   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 5 lines
03-09 18:59:45.798   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.97, bitrate 5016739
03-09 18:59:45.810   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.811   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.860   861 13652 I [CT]    : boltlib: DSP utilization: 8.65 % (432 / 5000 ms)
03-09 18:59:45.878   861 15051 I [CT]    : CONSTELLATION:VISION_STATUS: 86557c336c360320 (L): BlobDetection:[#BlobsDetected=(24.66, 5.02)]Matching:[MatchSuccess=1.000, MatchCost=(0.00188, 0.00000), #MatchedBlobs=(12.79, 0.68), #MatchedLeds=(7.09, 0.46), RematchM=0.000, SkipRefine=0.000] MatchMethod:[Prox=1.000, ConstBrute=0.000, UnconstBrute=0.000] MatchResets[AnomBlobSize=0.000, SharedMatch=0.000, DenseReacq=0.000] | Fusion:[FusionError=0.000, ImuFromCamMs=(8.574, 0.869), RematchF=0.000] FusionUpdates:[Successful=1.000, Reliable=1.000, TightFusion=1.000, FullPose=0.000, StaticPrior=0.000, StaticForHandTrans=0.000, PoseUpdateMD=(0.0000, 0.0000)] FusionResets[6DoFReset=0.000, ResetSuccess=0.000] FusionStatus[HasPosition=1.000, HasVelocity=1.000] 
03-09 18:59:45.878   861 15051 I [CT]    : CONSTELLATION:VISION_STATUS: 729165a0fe4054d7 (R): BlobDetection:[#BlobsDetected=(24.66, 5.02)]Matching:[MatchSuccess=1.000, MatchCost=(0.00172, 0.00000), #MatchedBlobs=(11.72, 4.55), #MatchedLeds=(6.48, 0.59), RematchM=0.000, SkipRefine=0.000] MatchMethod:[Prox=1.000, ConstBrute=0.000, UnconstBrute=0.000] MatchResets[AnomBlobSize=0.000, SharedMatch=0.000, DenseReacq=0.000] | Fusion:[FusionError=0.000, ImuFromCamMs=(8.733, 0.735), RematchF=0.032] FusionUpdates:[Successful=1.000, Reliable=1.000, TightFusion=1.000, FullPose=0.000, StaticPrior=0.000, StaticForHandTrans=0.000, PoseUpdateMD=(0.0000, 0.0000)] FusionResets[6DoFReset=0.000, ResetSuccess=0.000] FusionStatus[HasPosition=1.000, HasVelocity=1.000] 
03-09 18:59:45.904   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 4 lines
03-09 18:59:45.922   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.924   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:45.927  3090  3090 D MetaCam (DeviceLifecycleManager): onCapabilitiesChanged(...). Has NET_CAPABILITY_VALIDATED.
03-09 18:59:45.927  3090  3090 D MetaCam (DeviceLifecycleManager): onCapabilitiesChanged(...). Has NET_CAPABILITY_VALIDATED.
03-09 18:59:45.928 14799 14823 V UE4     : [NetworkChangedManager] Network Capabilities changed, has Internet: true
03-09 18:59:45.928  3090  3090 D MetaCam (DeviceLifecycleManager): onCapabilitiesChanged(...). Has NET_CAPABILITY_VALIDATED.
03-09 18:59:45.929   861 13691 I [CT]    : CONSTELLATION:IMU_STATUS: 86557c336c360320 (L): [FusionTracked=1.000, OutputTracked=1.000, OutputValid=1.000] [AccelSat=0.000, GyroSat=0.000] 
03-09 18:59:45.931 14799 15249 V UE4     : [NetworkChangedManager] Verifying internet connection with host: https://example.com/
03-09 18:59:46.004 14799 15109 I VrApi   : FPS=72/72,Prd=47ms,Tear=1,Early=54,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=1804MHz,Free=1976MB,PLS=0,Temp=27.5C/0.0C,TW=2.00ms,App=7.54ms,GD=0.11ms,CPU&GPU=11.75ms,LCnt=3(DR0,LM3),GPU%=0.75,CPU%=0.53(W0.65),DSF=1.00,CFL=19.72/21.30
03-09 18:59:46.122 14799 15249 V UE4     : [NetworkChangedManager] Connectivity hasn't changed. Current state: CONNECTION_AVAILABLE
03-09 18:59:46.122 14799 15249 V UE4     : [NetworkChangedManager] Full network check complete. State: CONNECTION_AVAILABLE
03-09 18:59:46.139   861 15045 W [CT]    : TIMESTAMPCHECKER: Nominal rate wrong. Estimated data rate: 25, Nominal is 30.000300003000028
03-09 18:59:46.456 13337 13408 I chatty  : uid=10033(com.oculus.xrstreamingclient) SlamAnchorMem expire 289 lines
03-09 18:59:46.598   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 29 lines
03-09 18:59:46.628   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:46.629   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:46.722   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 4 lines
03-09 18:59:46.737   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:46.740   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:46.800   828 15187 I OMX-VENC: venc_dev: stats: avg. fps 23.95, bitrate 4702889
03-09 18:59:46.884   861  1042 I chatty  : uid=1000(system) Binder:861_2 identical 6 lines
03-09 18:59:46.902   861  1042 W TrackingService: attachClient: found client in attached list
03-09 18:59:46.905   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:47.004 14799 15109 I VrApi   : FPS=72/72,Prd=47ms,Tear=0,Early=69,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0,CPU4/GPU=2/4,1171/525MHz,OC=FF,TA=0/70/70,SP=N/F/F,Mem=1804MHz,Free=1976MB,PLS=0,Temp=27.5C/0.0C,TW=2.15ms,App=6.04ms,GD=0.11ms,CPU&GPU=12.33ms,LCnt=3(DR0,LM3),GPU%=0.72,CPU%=0.47(W0.62),DSF=1.00,CFL=19.64/21.56
03-09 18:59:47.033   861  1193 I [CT]    : VEGA_MAPPER:SubmapTrackingValidator: Pausing map building until validation is complete. 0.6000000000000014 seconds remaining
03-09 18:59:47.046  1260  2718 I chatty  : uid=10025(com.oculus.systemdriver) ClientRequest expire 3 lines
03-09 18:59:47.059   861 15045 I [CT]    : VIPER: Environment brightness changed from 0 to 2
03-09 18:59:47.061  2057  2057 I chatty  : uid=10020(com.oculus.vrshell) ShellOverlayMai expire 24 lines
03-09 18:59:47.062  2057  2820 I chatty  : uid=10020(com.oculus.vrshell) ShellOverlayVR expire 237 lines
03-09 18:59:47.078   861  1577 I chatty  : uid=1000(system) Binder:861_4 identical 9 lines
03-09 18:59:47.080   861 13691 I [CT]    : CONSTELLATION:IMU_STATUS: 729165a0fe4054d7 (R): [FusionTracked=1.000, OutputTracked=1.000, OutputValid=1.000] [AccelSat=0.000, GyroSat=0.000] 
03-09 18:59:47.084  2899  3049 I GuardianSystem: [GuardianSystem::CheckEnvironmentStatus] Environment Status changed: 33 to 34
03-09 18:59:47.086  1846 15182 D BufferPoolAccessor: bufferpool2 0x76346a0620 : 5(2048000 size) total buffers - 4(1638400 size) used buffers - 0/5 (recycle/alloc) - 4/285 (fetch/transfer)
03-09 18:59:47.087   834 15192 D BufferPoolAccessor: bufferpool2 0x31ec778030 : 10(61440 size) total buffers - 4(24576 size) used buffers - 718/728 (recycle/alloc) - 15/727 (fetch/transfer)
03-09 18:59:47.105   861  1577 W TrackingService: attachClient: found client in attached list
03-09 18:59:47.120  1052  7743 E WindowManager: App trying to use insecure INPUT_FEATURE_NO_INPUT_CHANNEL flag. Ignoring
03-09 18:59:47.124  1260  2737 I chatty  : uid=10025(com.oculus.systemdriver) Binder:1260_3 expire 1 line
03-09 18:59:47.124  1260  1260 I chatty  : uid=10025(com.oculus.systemdriver) com.oculus.vrruntimeservice expire 11 lines
03-09 18:59:47.124  1260  2737 I chatty  : uid=10025(com.oculus.systemdriver) Binder:1260_3 expire 6 lines
03-09 18:59:47.124  1260  5650 I chatty  : uid=10025(com.oculus.systemdriver) Binder:1260_6 expire 2 lines
03-09 18:59:47.125   861  4212 W TrackingService: attachClient: found client in attached list
03-09 18:59:47.127  1260  3172 I chatty  : uid=10025(com.oculus.systemdriver) Binder:1260_5 expire 6 lines
03-09 18:59:47.130  1260  2718 I chatty  : uid=10025(com.oculus.systemdriver) ClientRequest expire 1 line
03-09 18:59:47.130  3090  3090 D MetaCam (MediaCapabilityChecker): checkMediaHasRecordingCapabilities packageName: com.oculus.vrshell
03-09 18:59:47.130  1260  2714 I chatty  : uid=10025(com.oculus.systemdriver) OVR::Clocks expire 6 lines
03-09 18:59:47.130  3090  3090 D MetaCam (MediaCapabilityChecker): checkMediaHasRecordingCapabilities packageName: com.oculus.vrshell
03-09 18:59:47.132 14799 14831 I VrRuntimeClient: Client has lost focus.
